,Text,Label
345,good audio quality,positive
346,little device made life whole lot easier,positive
347,sitting belt headset lost signal,negative
348,phone,negative
349,work like charm work advertised,positive
350,comfortable nice range good battery life,positive
351,network coverage los angeles horrible,negative
352,excellent wireless headset,negative
353,great appealing,negative
354,thing think could sound headset,negative
355,first reception suck never bar ever,negative
356,phone get extremely hot,negative
357,microphone also work well people called everything,positive
358,nice design quality,positive
359,also phone dropped case not going save dropped face,negative
360,light easy use clear reception,positive
361,bad fit way big,negative
362,definitely not good,positive
363,awesome device,positive
364,waste money,negative
365,ordered motorola data cable got well finished working product,positive
366,love phone,positive
367,looking headset long time ive got couldnt happier,positive
368,ill along headset start ringing no reason,negative
369,display excellent camera good year,positive
370,battery life also great,positive
371,worst phone ive ever month,negative
372,not good item worked started problem player,negative
373,also ear hurt try push ear plug ear,negative
374,phone side,positive
375,average phone bad battery life weak network,negative
376,clear skype call long battery life long range,positive
377,technology suck,negative
378,great hand free device,positive
379,even take self outside display cool,positive
380,problem others,negative
381,trying many many handsfree one finally work well,positive
382,help,positive
383,worst piece crap ever along verizon customer service,negative
384,poor sound quality,negative
385,best phone market,positive
386,worked well,positive
387,company shipped product promptly work well,positive
388,exactly wanted,positive
389,picture resolution far phone today,negative
390,great deal,positive
391,excellent product satisfied purchase,positive
392,highly recommend people give try,positive
393,better youd expect,positive
394,using earpiece left right thing not stay ear,negative
395,great product price,positive
396,sound good reasonably priced effective simple,positive
397,still waiting im sure item would work well ever,negative
398,disappointment,negative
399,prompt service,positive
400,excellent product price,positive
401,pleased headset,positive
402,dont waste money time,negative
403,especially love long battery life,positive
404,stupid keep buying new charger car charger headphone car every time new phone come,negative
405,work great,positive
406,plantronics bluetooth buy,positive
407,came verizon cell phone first thing noticed really bad service,negative
408,ill looking new earpiece,negative
409,highly recommend device everyone,positive
410,jawbone era awesome,positive
411,received white colored battery go dead couple original used last week still last longer,negative
412,year battery went completely dead headset,negative
413,used several phone two year one best,positive
414,awesome new look fall,positive
415,first phone ive cheaply made,negative
416,att not clear sound distorted talk,negative
417,plastic break really easy clip,negative
418,price good,positive
419,dont make mistake,negative
420,oh forgot also mention weird color effect phone,negative
421,im using case fit fine,positive
422,also area unit broke im not,negative
423,overall phone contact get great reception,positive
424,every thing phone work perfectly like,positive
425,another note phone appearance really look rather bland especially black model,negative
426,really easy,positive
427,drop without ill effect,positive
428,fantastic,positive
429,find cell phone right away enter car,positive
430,low quality,negative
431,highly recommend modest priced phone,positive
432,get better reception clarity phone ive,positive
433,warning stay away,negative
434,wish could return unit get back money,negative
435,device work great,positive
436,used talk hour battery would literally dying,negative
437,dont find bad unit come one would not recommend anyone,negative
439,might gotten would not buying built quality alone,negative
440,made case small difficult install,negative
441,phone like new performance,positive
442,would recommend purchasing jabra series work flawlessly moto q go figure,positive
443,internet found one best value,positive
444,not fit,negative
445,happy product,positive
446,screen size big well enough camera quality excellent camera phone,positive
447,there really nothing bad say headset,negative
448,im glad found product amazon hard find wasnt high priced,positive
449,work,positive
450,get great little expensive performance great,positive
451,even fully charged went turned blue tooth noticed left,negative
452,ive also problem phone reading memory card always turn,negative
453,not good wearing sunglass,negative
454,timely quality product,positive
455,nice solid keyboard,positive
456,well made fit perfectly,positive
457,horrible phone,negative
458,bt battery junk,negative
459,would recommend others,positive
460,cant get software work computer,negative
461,disappointed,negative
462,poor voice clarity,negative
463,battery work great,positive
464,no one,negative
465,disappointed,negative
466,find probably returning phone perhaps changing,negative
467,look great strong,positive
468,tmobile service year pretty happy,positive
469,difficult cumbersome,negative
470,disappointment hate anything go ear,negative
471,great software motorolas,positive
472,delivery time,positive
473,easy use,positive
474,uncomfortable ear dont use lg vx,negative
475,volume switch unit,negative
476,hold charge long time reasonably comfortable quality sound tremendous,positive
477,id like return,negative
478,keyboard really worthwhile sturdy enough dont expect problem,positive
479,however difficult understand even though pricing simple,negative
480,charging battery work great,positive
481,wont regret,positive
482,love phone,positive
483,disappointment,negative
484,not user friendly,negative
485,unfortunately ability actually know receiving call rather important feature phone pitiful,negative
486,exchanged phone even problem,negative
487,result phone either volume,negative
488,pda rock,positive
489,super charged use small role,positive
490,would definitely recommend jabra looking comfort clarity great price,positive
491,verizon year ago really liked service,positive
492,pretty piece junk,negative
493,plug wrong size,negative
494,work described,positive
495,save money ive item month,negative
496,bad purchase,negative
497,well im satisfied,positive
498,noise amazing important nyc,positive
499,battery excellent bargain,positive
500,defective crap,negative
501,would given no star able,negative
502,wear glass fit fine,positive
503,sound quality device really quiet area almost hear nothing,negative
504,would not recommend item anyone,negative
505,holster arrived not match,negative
506,problem,positive
507,earlier review plug charger nothing,negative
508,phone charm adorable eye catching,positive
509,never know hard enough right number time function want not,negative
510,sound clear people talk amazed quality,positive
511,got case new palm vx worked really perfectly far,positive
512,good product well made,positive
513,mobile phone must,positive
514,impressed job motorola phone,positive
515,received order well within shipping timeframe everything good working order overall excited,positive
516,phone sturdy,positive
517,not impressed would not recommend item anyone,negative
518,complaint standard sound volume little low even turned,negative
519,thanks amazon thing need good price,positive
520,ended edge back instead,positive
521,go store bought new nokia phone working great,positive
522,work great,positive
523,really ugly,negative
524,horrible switch time,negative
525,noise,positive
526,no real improvement,negative
527,razr battery good buy,positive
528,keep good work amazon,positive
529,refund replace,negative
530,unfortunately easy accidentally button accidentally touch phone face listening,negative
531,basically money nothing,negative
532,great case price,positive
533,took one drop kitchen not impressed not,negative
534,bluetooth range good day ago left phone got call conversation without,positive
535,small sleek impressive looking practical setup ample storage place,positive
536,eargels channel sound ear seem sound volume clarity,positive
537,none new one ever quite worked properly,negative
538,glad purchased,positive
539,ive missed numerous call reason,negative
540,perhaps phone defective people cannot hear use,negative
541,dont buy product,negative
542,sucked stuff not work phone,negative
543,no no no not even couldnt happier new one,positive
544,worst software ever used could give zero star would,negative
545,trying make call frustration,negative
546,case flimsy piece plastic no front side protection whatsoever,negative
547,jabra happy sound quality especially better,positive
548,love camera really pretty good quality,positive
549,thank great service,positive
550,total,positive
551,seller understanding would definitely buy,positive
552,give,negative
554,great product price,positive
555,purchased family friend enjoy clarity ease use,positive
556,wireless rock cheap little phone,positive
557,none work dont buy,negative
558,low quality sound around poorly super,negative
559,please dont waste money,negative
560,im quite satisfied purchase,positive
561,looking good quality motorola headset keep looking isnt,negative
562,yet use flawed charger design,negative
563,result,negative
564,cumbersome design,negative
565,great new packaged nice work good no problem came le time expected,positive
566,great product,positive
567,piece crap,negative
568,experience terrible bluetooth headset much comfortable last jabra hated,negative
569,problem,positive
570,worst ever,negative
571,happy,positive
572,ive no trouble internet ringtones,positive
573,barely ever hear saying,negative
574,battery life highly,negative
575,company joke,negative
576,everything description said would,positive
577,due every call forced stop using headset,negative
578,work great car charger especially cannot plug two time,positive
579,verizon tech support walked none worked ended hard data,negative
580,voice quality signal dropped call,negative
581,play speaker size price low would think quality lacking however not,positive
582,better expected,positive
583,feel poorly constructed menu difficult button difficult push,negative
584,battery holding well,positive
585,also difficult put recommend product,negative
586,used two day wasnt always easy hear,negative
587,got car charger not even week charger went plug started,negative
588,sprint terrible customer service,negative
589,phone without effort,positive
590,cool,positive
591,easy use,positive
592,better new,positive
593,get junk no idea,negative
594,piece trash,negative
595,pretty good product,positive
596,great phone,positive
597,price amazon excellent product would highly recommend,positive
598,development obviously know theyre,positive
599,real killer volume course breaking,negative
600,phone working fine,positive
601,happy product,positive
602,poor construction,negative
604,overall would recommend phone new,positive
605,sprint service,negative
606,cheap feel look cheap,negative
607,fit ear well comfortable,positive
608,doesnt work,negative
609,belt make feel like,positive
610,like design look jabra ear headset pretty wear hour day without ear,positive
611,amazed quick two original lg cell phone battery price,positive
612,worst phone samsung e worst ever,negative
613,charger worked week completely stopped charging phone,negative
614,poor product,negative
615,however needed better instruction,negative
616,need two hand operate software old cannot new software,negative
617,worked well paired treo skype headset pc using usb bluetooth,positive
618,clear product go genuine palm come,negative
619,not buy not suck,negative
620,great product sure using,positive
621,plus seriously not believe worth price point,negative
622,case ive tried normally fall apart month one seems long,positive
623,performance,negative
624,dont make mistake please dont buy phone,negative
625,phone might well worst ive ever brand,negative
626,case le extra put later scratched ear,negative
627,recommend igo anyone different brand cell player family,positive
628,dont bother go store,negative
629,comment black phone fire red great color,positive
630,not problem item would order needed,positive
631,get pay guess,negative
632,not software great job could also make ringtones form without internet connection,positive
633,im surprised good quality car charger there not much review,positive
634,fabulous,positive
635,however bt headset not good real time game like since audio,negative
636,used free find data price cable excellent,positive
637,disappointing good,negative
638,performed awful tinny sound echo end call,negative
640,obviously terrible customer service get pay,negative
641,not last forever not overly expensive operate sound much better others tried,positive
642,company told although unit still warranty couldnt produce luck,negative
643,way exchange bad phone unit something,negative
644,phone sturdy nokia bar phone,positive
645,great phone,positive
646,placed treo case not not lot extra room side,negative
647,im pleased,positive
648,battery terrible,negative
649,found product easy set use,positive
650,earpiece large keep falling ear,negative
651,utter crap sound quality terrible,negative
652,charger arrived within timeframe not work,negative
653,no ear needed tiny sound great,positive
654,finally three four time spring broke could not use longer,negative
655,handsfree part work fine car try download book treo still rate device high,positive
656,talk useless customer service,negative
657,felt light tinny,negative
658,not fit palm e broke first time tried plug,negative
659,im happy purchase good quality low price,positive
660,love look feel samsung,positive
661,sharp blue nice color,positive
662,everything,positive
663,could not recommend,negative
664,nice sound,positive
665,look good picture case huge disappointment,negative
666,much le jawbone going replace,positive
667,setup went smoothly,positive
668,extremely slow take forever anything,negative
669,must study anyone interested worst design,negative
670,first thing happened,negative
671,well made easy access phone handy belt clip,positive
672,continue pairing since somehow kept dropping,negative
673,cant ringtones third party,negative
674,bluetooth not work phone flash make call pocket,negative
675,truly awful,negative
676,work fine motorola lot better battery,positive
677,volume real good choice loud,positive
678,none tone,negative
679,camera color balance awful,negative
680,product clearly not ready prime time dont care cool look cant tell call coming worthless,negative
681,love ringtones,positive
682,chinese,negative
683,easy pair samsung cell,positive
684,instruction didnt explain microphone could used,negative
685,would advise not purchase item never worked well,negative
686,bad pay month service,negative
687,work well,positive
688,nokia usb cable not work phone,negative
689,clear crisp sound,positive
690,use earpiece provided pretty well,positive
691,biggest complaint battery,negative
692,design might could not stand ear,negative
693,not buy want use holster,negative
694,phone also take great picture even video,positive
695,doesnt make look cool,negative
696,ear occupied background not,positive
697,comfortable fit need headset comfortable least hour time not entire day,positive
698,also phone doesnt seem accept anything except ripped player,negative
699,cant beat price,positive
700,come strong light use light camera shot even flash seriously,positive
701,lightweight work well,positive
702,beware,negative
703,love cable allows device pc,positive
704,anyone hear part conversation,negative
705,cool case open allowing screen get scratched,positive
706,bought phone replacement since,negative
707,appears actually original battery came vi,positive
708,cant store anything phone number,negative
709,last le minute actually try use wife phone problem,negative
710,poor quality,negative
711,jabra ear gel r best,positive
712,not worth,negative
713,phone crashed completely get,negative
714,quit working id used month purchased another one best headset ive ever owned,positive
715,unfortunately not recharge iphone despite multiple power battery wall outlet etc,negative
716,great phone,positive
717,simply want small flip phone look elsewhere extra mediocre,negative
718,good value work fine power via usb car wall outlet,positive
719,phone doesnt around car phone hand,positive
720,simply best bluetooth headset sound quality,positive
721,think plan sure last moto phone,negative
722,span hour two people new phone tv,positive
723,always used headset freedom wireless helpful,positive
724,case passed one year mark show sign wear,positive
725,leather nice fit cut face good,positive
726,everything need couldnt ask,positive
727,receiving using product day broke,negative
728,product great make working lot easier go waiting hold something,positive
729,none three size headset would stay ear,negative
730,tmobile best customer service,positive
731,arrived quickly much le expensive others,positive
732,tried failed within month pro,negative
733,provides good protection look,positive
734,always good,positive
735,user friendly make easy etc,positive
736,design good,positive
737,great reception time,positive
738,would highly recommend product,positive
739,couldnt use unit sunglass not good,negative
740,not work time nokia,negative
741,bought mainly charger broke soon purchasing,negative
742,like loud buzzing override conversation phone,negative
743,fantastic buy get whatever next phone,positive
744,stay away store careful,negative
745,handsfree phone speaker awesome,positive
746,not fit,negative
747,item arrived quickly work great metro samsung phone sony sound ear,positive
748,light plenty battery wear somewhat extended time,positive
749,disappointing,negative
750,blue easy use,positive
751,cheap work given low cost item,positive
752,camera phone may used id rather using,negative
753,day later smoke came phone use,negative
754,convenient simple use get job done make car much,positive
755,stated son,negative
756,sound quality excellent well,positive
757,best headset used,positive
758,would not,negative
759,around year carry highest quality screen protector found date,positive
760,wanted,positive
761,particular model would not work motorola q,negative
762,wont work right,negative
763,addition feel look phone lightweight cheap plastic,negative
764,warranty problem line put money else cingular not support,negative
765,really wanted plantronics right one many issue good,negative
766,great product,positive
767,crisp clear,positive
768,first charge kept going dead minute,negative
769,cheap plastic like old wooden,negative
770,get absolutely horrible reception phone not problem,negative
771,reception generally good,positive
772,excellent sound battery life boot,positive
773,great bluetooth,positive
774,highly recommend case,positive
775,worthwhile,positive
776,great deal,positive
777,phone got year old breaking despite much care part,negative
778,sorry made purchase,negative
779,bought hoping could make bluetooth headset fit better thing made impossible wear,negative
780,treo tmobile refused replace forced buy another phone without kind discount,negative
781,horrible,negative
782,dont think would hold belt,negative
783,allows double date time first,negative
784,work week break,negative
785,simple use like,positive
786,great tool data sure use data result,positive
787,cant use case smell disgusting,negative
788,not wanted,negative
789,case would order another,positive
790,great phone,positive
791,bought battery amazon im happy purchase,positive
792,internet access fine rare worked,negative
793,perfect p,positive
794,five star plus plus,positive
795,good quality bargain bought bought big lot sounded awful people end couldnt hear,positive
796,drain,negative
797,tried talking real loud telephone get old still told wasnt great,negative
798,good work fine,positive
799,price great deal,positive
800,great price,positive
801,wind completely useless,negative
802,yes front side love,positive
803,not work,negative
804,first thought good deal plugged phone razr,negative
805,reception headset excellent,positive
806,thumb seller,positive
807,verizon lg phone work well together good reception range foot line,positive
808,description return,negative
809,work comfortable,positive
810,battery quite long,positive
811,jabra eargels fit ear well,positive
812,battery no life,negative
813,checked everywhere no feature really disappointing,negative
814,product exactly described,positive
815,get signal verizon phone wont,positive
816,doesnt job,negative
817,would recommend,positive
818,plan ordering,positive
819,said phone camera nice many cool effect play video decent well,positive
820,satisfied cell phone day one,positive
821,keep getting better better third one ive numerous,positive
822,awkward use unreliable,negative
823,shipping time also quick,positive
824,not good,negative
825,good case,positive
826,doesnt work,negative
827,really good product,positive
828,unfortunately not work,negative
829,three broke within two month use,negative
830,dont buy,negative
831,father v battery dying,negative
832,however ear come easily one week lost one,negative
833,call drop phone come screen go black worst ringing,negative
834,horrible horrible protector,negative
835,dont like nokia either,negative
836,bottom row uncomfortable send end not expect,negative
837,bought nokia cell phone week ago,negative
838,would take long describe bad customer service experience amazon,negative
839,disappointing thing no,negative
840,terrible car not accept,negative
841,product useless since not enough charging current charge use,negative
842,not say,negative
843,stay away q,negative
844,used dirty,negative
845,unreliable service tmobile,negative
846,not good enough price,negative
847,bought two neither charge,negative
848,look nice,positive
849,excellent tool especially paired phone,positive
850,read others review havent problem,positive
851,cover important light ear outlet,negative
852,comfortable hand,positive
853,not work,negative
854,poor,negative
855,work,positive
856,take picture battery drop bar start letting know,negative
857,terrible product waste money,negative
858,last time buying,negative
859,waste money,negative
860,far worked like charm,positive
861,week far good,positive
862,case best part download picture laptop using even send picture laptop phone,positive
863,would recommend item,positive
864,choice headset sound good volume good noise,positive
865,nice case feel good hand,positive
866,item received,negative
867,really good far probably best bt headset ever,positive
868,work fine,positive
869,received headset good time happy,positive
870,pleased see could replace well holster blackberry flip,positive
871,sister one also love,positive
872,good quality,positive
873,far worst purchase ive made amazon,negative
874,excellent headset,positive
875,excellent,positive
876,not work listening music cingular,negative
877,seems completely secure holding belt iphone inside,positive
878,worthless cheap sprint,negative
879,trouble volume,negative
880,good thing fit comfortably small ear,positive
881,warning not buy,negative
882,pairing iphone could not happier far,positive
883,battery connection device turned,negative
884,didnt want clip going top ear discomfort,negative
885,best headset ever,positive
886,dont website dont expect helpful support,negative
887,say plantronics connection cell no static normal use,positive
888,speaker low quality making ring tone sound cheap,negative
889,fit comfortably came three size earbud tip,positive
890,excellent product price,positive
891,bad reception,negative
892,product high quality chinese crap,negative
893,quite comfortable ear,positive
894,great phone,positive
895,dont buy product fails,negative
896,everything product,negative
897,pairing two easy barely took couple minute started making call voice dialing feature,positive
898,utterly confusing first caused lose couple important contact,negative
899,terrible phone,negative
900,cutout button placed perfectly,positive
901,love able use one headset cell,positive
902,problem ear made weak material break easily,negative
903,not nearly good looking amazon picture make look,negative
904,despite flaw case exceptional quality well worth additional cost product,positive
905,stupid,negative
906,hear im driving car usually dont even put setting,positive
907,seller shipped quickly much cheaper,positive
908,good show samsung,positive
909,bought money,positive
910,always cut make beep beep beep sound say signal failed,negative
911,couldnt figure,negative
912,phone sounded ok not great ok wife phone almost totally couldnt understand word said,negative
913,take battery phone put back together,negative
914,managed spring back place enough break next drop,negative
915,wonderfully wild,positive
916,work,positive
917,piece junk,negative
918,much better hard plastic case,positive
919,also new problem,negative
920,happy far,positive
921,cool phone,positive
922,work good,positive
923,motorola finally got voice quality bluetooth headset right,positive
924,connection phone even within couple foot two,negative
925,great would really recommend,positive
926,make easier keep bluetooth im not wearing,negative
927,said useless,negative
928,never got,negative
929,pair headphone worst ever,negative
930,drain weak,negative
931,not charge cingular att phone,negative
932,get extra minute carry call not get cut,positive
933,however year started get loose screen went black couldnt receive place call,negative
934,kept catching cable seat pull phone turn,negative
935,headset happy purchase,positive
936,logitech bluetooth headset,positive
937,like fact lightly ear rather inside,positive
938,lot rating good phone,positive
939,tried computer ipod work fine,positive
940,mic joke volume quite low,negative
941,im returning,negative
942,not maintain connection computer,negative
943,easy turn car volume quite,positive
944,year christmas bought rest family,positive
945,otherwise easy install use clear sound,positive
946,nice leather,positive
947,purchase different case,negative
948,joy use,positive
949,much disappointed company,negative
951,didnt charge,negative
952,phone get bought say wow,positive
953,button small,negative
954,reading alone make say wow,positive
955,love great,positive
956,really like product motorola ear piece mic,positive
957,however tinny sometimes wrong button,negative
958,exchanged sony im pretty happy decision,positive
959,impressed price case,positive
960,also make easier hold,positive
961,use product control lot high work great,positive
962,pretty easy,positive
963,cannot make call certain place,negative
964,however girl complain time phone doesnt like normal phone,negative
965,beautiful though,positive
966,company charge still not given refund back,negative
